

----------------------------------------------------------
				Initialize logger


func:GS::DMGraphics::Initialize, line:65|Initialize the Direct3D object ms: 161.126000
func:GS::CustomTexture::generateTexture, line:64|Inputs correct
func:GS::DMGraphics::Initialize, line:84|Load materials
func:LibraryLoader::loadMaterial, line:95|Load material: 11
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\VertexLight.vs
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\VertexLight.ps
func:LibraryLoader::loadMaterial, line:95|Load material: 10
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\VertexLight.ps
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\VertexLight.vs
func:LibraryLoader::loadMaterial, line:95|Load material: 9
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\Phong.ps
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\LightShader.vs
func:LibraryLoader::loadMaterial, line:95|Load material: 8
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\texture.ps
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\texture.vs
func:LibraryLoader::loadMaterial, line:95|Load material: 7
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\color.ps
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\color.vs
func:LibraryLoader::loadMaterial, line:95|Load material: 6
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\grass.ps
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\grass.vs
func:LibraryLoader::loadMaterial, line:95|Load material: 5
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\particle.ps
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\particle.gs
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\particle.vs
func:LibraryLoader::loadMaterial, line:95|Load material: 4
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\clipmap_h.ps
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\clipmap.vs
func:LibraryLoader::loadMaterial, line:95|Load material: 3
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\LightShader.vs
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\Phong.ps
func:LibraryLoader::loadMaterial, line:95|Load material: 2
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\texture.ps
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\texture.vs
func:LibraryLoader::loadMaterial, line:95|Load material: 1
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\color.vs
func:LibraryLoader::loadShader, line:175|Load shader: Shaders\color.ps
func:GS::DMGraphics::Initialize, line:91|Load material for ms: 365.053000
func:GS::DMGraphics::Initialize, line:93|Load models
func:LibraryLoader::loadModelWithLOD, line:206|Load model: 1
func:LibraryLoader::loadMesh, line:188|Load mesh: 1
func:GS::DMGraphics::Initialize, line:100|Load models for ms: 75700.777000
func:GS::DMGraphics::Initialize, line:104|Load textures
func:LibraryLoader::loadTexture, line:30|Load all textures
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 30; id = 1, name = no_image, file = no_image.dds
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 130; id = 2, name = grass.jpg, file = grass.jpg
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 37; id = 3, name = WaterPlain, file = WaterPlain.jpg
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 191; id = 4, name = sky3, file = VizPeople_non_commercial_hdr_v1_05.dds
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 296; id = 5, name = knot_tex, file = materials\blocksrough_basecolor_2048.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 329; id = 6, name = knot_shiness, file = materials\blocksrough_basecolor_2048.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 108; id = 7, name = t_heightmap, file = terrain\heightmap.dds
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 222; id = 8, name = t_boulders, file = materials\rocky_dirt1-albedo.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 317; id = 9, name = t_normalmap, file = terrain\normalmap.tif
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 20; id = 10, name = Cliffs, file = Cliffs.jpg
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 42; id = 11, name = sand, file = sand.jpg
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 33; id = 12, name = t_snow, file = materials\Snow_003_COLOR.jpg
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 3; id = 13, name = FoilageMap, file = FoilageMap.dds
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 70; id = 14, name = cvetok_romashki, file = cvetok_romashki.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 28; id = 15, name = TerrainHM.png, file = TerrainHM.png
